symbol,period,datetime,open,high,low,close,volume,update_time
300672.XSHG,1day,2020-10-12 15:00:00,52.48,54.84,52.36,54.82,2619572,2020/10/12 15:00
300672.XSHG,1day,2020-10-13 15:00:00,54.85,55.15,53.62,54.18,1628410,2020/10/13 15:00
300672.XSHG,1day,2020-10-14 15:00:00,54.18,54.24,52.94,53.13,1294441,2020/10/14 15:00
300672.XSHG,1day,2020-10-15 15:00:00,52.89,54.01,52.85,52.88,1114819,2020/10/15 15:00
300672.XSHG,1day,2020-10-16 15:00:00,52.88,53.29,51.64,51.75,1376176,2020/10/16 15:00
300672.XSHG,1day,2020-10-19 15:00:00,52.26,52.26,51.25,51.29,1095576,2020/10/19 15:00
300672.XSHG,1day,2020-10-20 15:00:00,51.29,51.72,50.58,51.72,1122340,2020/10/20 15:00
300672.XSHG,1day,2020-10-21 15:00:00,51.65,51.65,50.25,50.55,1036398,2020/10/21 15:00
300672.XSHG,1day,2020-10-22 15:00:00,50.35,51.12,49.72,50.48,925273,2020/10/22 15:00
300672.XSHG,1day,2020-10-23 15:00:00,50.36,51,49.82,50.23,867920,2020/10/23 15:00
300672.XSHG,1day,2020-10-26 15:00:00,49.96,50.68,49.39,50.15,614872,2020/10/26 15:00
300672.XSHG,1day,2020-10-27 15:00:00,50.13,50.57,49.87,50.56,670737,2020/10/27 15:00
300672.XSHG,1day,2020-10-28 15:00:00,50.56,50.7,49.76,50.15,740336,2020/10/28 15:00
300672.XSHG,1day,2020-10-29 15:00:00,49.59,50.16,48.84,49.86,932607,2020/10/29 15:00
300672.XSHG,1day,2020-10-30 15:00:00,50.1,51.47,49.68,50.31,1670535,2020/10/30 15:00
300672.XSHG,1day,2020-11-02 15:00:00,50.45,51.83,50.45,51.53,1544466,2020/11/2 15:00
300672.XSHG,1day,2020-11-03 15:00:00,51.15,53.18,51.15,52.43,1738622,2020/11/3 15:00
300672.XSHG,1day,2020-11-04 15:00:00,52.32,52.45,50.71,50.74,1563109,2020/11/4 15:00
300672.XSHG,1day,2020-11-05 15:00:00,51.85,51.85,50.22,51.07,1376181,2020/11/5 15:00
300672.XSHG,1day,2020-11-06 15:00:00,51.06,51.57,50.45,51.15,1258529,2020/11/6 15:00
300672.XSHG,1day,2020-11-09 15:00:00,51.45,55.02,51.45,54.5,4708709,2020/11/9 15:00
300672.XSHG,1day,2020-11-10 15:00:00,53.9,54.21,52.68,52.95,2746338,2020/11/10 15:00
300672.XSHG,1day,2020-11-11 15:00:00,52.94,53.27,51.15,51.47,1726286,2020/11/11 15:00
300672.XSHG,1day,2020-11-12 15:00:00,51.86,52.23,50.9,51.15,983038,2020/11/12 15:00
300672.XSHG,1day,2020-11-13 15:00:00,50.85,51.9,50.25,51.19,966092,2020/11/13 15:00
300672.XSHG,1day,2020-11-16 15:00:00,51.42,51.5,50.13,50.43,1288726,2020/11/16 15:00
300672.XSHG,1day,2020-11-17 15:00:00,50.43,52.73,49.47,52.72,2157833,2020/11/17 15:00
300672.XSHG,1day,2020-11-18 15:00:00,51.95,52.85,51.41,51.62,1647658,2020/11/18 15:00
300672.XSHG,1day,2020-11-19 15:00:00,51.35,53.43,50.67,52.79,2385904,2020/11/19 15:00
300672.XSHG,1day,2020-11-20 15:00:00,52.54,53.15,52.03,52.77,1502544,2020/11/20 15:00
300672.XSHG,1day,2020-11-23 15:00:00,52.85,52.95,51.35,51.99,1428024,2020/11/23 15:00
