symbol,period,datetime,open,high,low,close,volume,update_time
000001.XSHG,1day,2014-7-31 15:00:00,2179.54,2202.13,2174.01,2201.56,16469164800,2014-7-31 15:00:00
000001.XSHG,1day,2014-8-1 15:00:00,2194.17,2218.5,2184.64,2185.3,19147504000,2014-8-1 15:00:00
000001.XSHG,1day,2014-8-4 15:00:00,2190.04,2224.07,2187.11,2223.33,17409740800,2014-8-4 15:00:00
000001.XSHG,1day,2014-8-5 15:00:00,2224.63,2226.74,2206.93,2219.95,17538699200,2014-8-5 15:00:00
000001.XSHG,1day,2014-8-6 15:00:00,2212,2223.8,2193.19,2217.47,17771171200,2014-8-6 15:00:00
000001.XSHG,1day,2014-8-7 15:00:00,2216.66,2220.55,2185.76,2187.67,17523328000,2014-8-7 15:00:00
000001.XSHG,1day,2014-8-8 15:00:00,2188.71,2199.58,2180.75,2194.43,13518144000,2014-8-8 15:00:00
000001.XSHG,1day,2014-8-11 15:00:00,2199.43,2225.8,2198.31,2224.65,15058342400,2014-8-11 15:00:00
000001.XSHG,1day,2014-8-12 15:00:00,2222.7,2222.7,2210.2,2221.59,15479904000,2014-8-12 15:00:00
000001.XSHG,1day,2014-8-13 15:00:00,2223.05,2230.99,2202.44,2222.88,17806280000,2014-8-13 15:00:00
000001.XSHG,1day,2014-8-14 15:00:00,2221.54,2230.71,2204.44,2206.47,17014912000,2014-8-14 15:00:00
000001.XSHG,1day,2014-8-15 15:00:00,2207.23,2230.87,2203.52,2226.73,14997868800,2014-8-15 15:00:00
000001.XSHG,1day,2014-8-18 15:00:00,2229.8,2242.01,2228.21,2239.47,16392862400,2014-8-18 15:00:00
000001.XSHG,1day,2014-8-19 15:00:00,2242.34,2245.83,2228.04,2245.33,17774459200,2014-8-19 15:00:00
000001.XSHG,1day,2014-8-20 15:00:00,2241.66,2248.83,2234.26,2240.21,16765838400,2014-8-20 15:00:00
000001.XSHG,1day,2014-8-21 15:00:00,2239.57,2240.08,2211.79,2230.46,16573350400,2014-8-21 15:00:00
000001.XSHG,1day,2014-8-22 15:00:00,2228.97,2243.13,2225.5,2240.81,16011168000,2014-8-22 15:00:00
000001.XSHG,1day,2014-8-25 15:00:00,2241.1,2241.52,2222.26,2229.27,16211958400,2014-8-25 15:00:00
000001.XSHG,1day,2014-8-26 15:00:00,2225.29,2232.69,2200.64,2207.11,16350742400,2014-8-26 15:00:00
